City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,st. john's,47.5649,-52.7093,0.93,94,75,13.38,CA,1708097402
1,baukau,51.5526,7.2042,13.92,93,100,2.63,DE,1708097677
2,itapuranga,-15.5622,-49.9486,28.23,62,92,1.16,BR,1708097677
3,waitangi,-43.9535,-176.5597,15.46,92,77,0.89,NZ,1708097677
4,miquelon,47.0975,-56.3814,-1.0,77,100,13.66,PM,1708097677
5,adamstown,-25.066,-130.1015,24.27,82,98,2.56,PN,1708097677
6,tinajo,29.0788,-13.7081,21.49,60,20,10.29,ES,1708097677
7,yellowknife,62.456,-114.3525,-19.71,84,20,3.09,CA,1708097391
8,petropavlovsk-kamchatsky,53.0452,158.6483,-15.67,83,40,5.0,RU,1708097678
9,vilyuchinsk,52.9306,158.4028,-14.85,79,100,3.73,RU,1708097678
10,anadyr,64.75,177.4833,-19.72,84,100,5.0,RU,1708097678
11,chonchi,-42.6128,-73.8092,22.95,42,100,1.52,CL,1708097678
12,palmer,42.1584,-72.3287,1.93,47,75,9.77,US,1708097478
13,ancud,-41.8697,-73.8203,16.62,78,97,4.63,CL,1708097678
14,bethel,41.3712,-73.414,3.59,48,20,10.8,US,1708097678
15,port-aux-francais,-49.35,70.2167,5.75,83,100,11.82,TF,1708097678
16,vernon,50.2581,-119.2691,-8.17,81,60,2.06,CA,1708097505
17,wailua homesteads,22.0669,-159.378,20.24,79,20,3.09,US,1708097679
18,aasiaat,68.7098,-52.8699,-21.95,95,99,2.2,GL,1708097679
19,kabansk,52.0486,106.6528,-19.37,89,100,3.92,RU,1708097679
20,arar,30.9753,41.0381,13.01,67,40,3.09,SA,1708097679
21,san patricio,28.017,-97.5169,17.97,95,100,2.7,US,1708097680
22,grytviken,-54.2811,-36.5092,3.41,76,21,6.34,GS,1708097680
23,stolac,43.0844,17.9575,17.88,73,11,1.14,BA,1708097680
24,lompoc,34.6391,-120.4579,12.18,87,100,2.06,US,1708097548
25,rabo de peixe,37.8,-25.5833,18.73,99,75,7.2,PT,1708097680
26,dolores,-36.3132,-57.6792,25.72,53,0,5.09,AR,1708097680
27,tucupita,9.0622,-62.051,34.71,33,75,2.91,VE,1708097680
28,vadso,70.0744,29.7487,-4.91,86,75,7.2,NO,1708097680
29,tual,-5.6667,132.75,28.4,80,82,6.7,ID,1708097680
30,kamaishi,39.2667,141.8833,0.3,67,62,1.37,JP,1708097681
31,zgornje jezersko,46.3833,14.4667,13.39,61,0,1.03,SI,1708097681
32,iqaluit,63.7506,-68.5145,-26.84,62,20,4.63,CA,1708097681
33,kruisfontein,-34.0033,24.7314,21.6,75,100,13.2,ZA,1708097681
34,tiksi,71.6872,128.8694,-33.77,100,100,1.64,RU,1708097681
35,vuktyl,63.8567,57.3094,-25.5,98,8,2.68,RU,1708097681
36,lunglei,22.8833,92.7333,12.84,54,0,1.28,IN,1708097681
37,gorontalo,0.5412,123.0595,22.71,93,52,1.88,ID,1708097681
38,hawaiian paradise park,19.5933,-154.9731,20.73,95,100,3.6,US,1708097682
39,college,64.8569,-147.8028,-15.82,83,40,0.0,US,1708097682
40,i-n-salah,27.1935,2.4607,29.46,8,50,3.26,DZ,1708097682
41,puerto natales,-51.7236,-72.4875,14.25,72,0,2.57,CL,1708097682
42,saint-pierre,-21.3393,55.4781,28.82,79,100,2.06,RE,1708097682
43,hermanus,-34.4187,19.2345,21.0,62,65,5.93,ZA,1708097682
44,albany,42.6001,-73.9662,0.91,63,85,3.13,US,1708097682
45,ishigaki,24.3448,124.1572,19.07,82,75,5.66,JP,1708097682
46,stanley,54.868,-1.6985,11.77,79,40,7.2,GB,1708097682
47,tumaco,1.7986,-78.8156,27.64,84,100,2.77,CO,1708097683
48,notodden,59.5594,9.2585,1.08,93,75,0.0,NO,1708097683
49,west bay,19.3667,-81.4167,28.36,77,20,4.63,KY,1708097683
50,borba,-4.3878,-59.5939,30.59,67,100,1.95,BR,1708097683
51,magadan,59.5667,150.8,-23.04,96,100,3.57,RU,1708097626
52,blackmans bay,-43.0167,147.3167,15.07,91,78,1.87,AU,1708097683
53,lubao,14.9167,120.55,25.84,80,32,1.84,PH,1708097683
54,walvis bay,-22.9575,14.5053,24.53,46,0,0.0,NA,1708097683
55,saldanha,-33.0117,17.9442,23.03,68,52,10.14,ZA,1708097683
56,callao,-12.0667,-77.15,27.16,69,0,3.6,PE,1708097684
57,formosa do rio preto,-11.0483,-45.1931,32.23,49,63,1.72,BR,1708097684
58,talnakh,69.4865,88.3972,-32.51,83,20,0.96,RU,1708097684
59,pangody,65.85,74.4859,-22.83,97,92,5.47,RU,1708097684
60,kayangel,8.0823,134.7173,27.51,77,15,6.76,PW,1708097684
61,pocatello,42.8713,-112.4455,2.88,86,100,8.23,US,1708097684
62,puerto ayora,-0.7393,-90.3518,29.98,94,13,1.34,EC,1708097623
63,thompson,55.7435,-97.8558,-24.91,77,100,2.06,CA,1708097684
64,howrah,22.5892,88.3103,24.0,73,0,2.06,IN,1708097684
65,korla,41.7597,86.1469,1.14,56,49,0.53,CN,1708097684
66,yaren,-0.5472,166.916,28.65,75,100,7.05,NR,1708097685
67,concepcion,-36.827,-73.0498,16.89,67,20,3.6,CL,1708097530
68,saipan,15.1355,145.701,24.39,94,100,3.6,MP,1708097685
69,jwaneng,-24.6004,24.7303,34.14,15,2,6.92,BW,1708097685
70,bredasdorp,-34.5322,20.0403,19.07,56,57,7.8,ZA,1708097668
71,punta arenas,-53.15,-70.9167,16.01,71,40,4.12,CL,1708097424
72,trostberg an der alz,48.0333,12.55,16.5,77,82,1.44,DE,1708097685
73,pila,53.1515,16.7378,11.01,75,100,4.66,PL,1708097685
74,namtsy,62.7161,129.6658,-44.01,100,83,1.59,RU,1708097686
75,bilibino,68.0546,166.4372,-37.83,98,61,1.55,RU,1708097686
76,moranbah,-22.0016,148.0466,21.85,91,91,6.3,AU,1708097686
77,hasaki,35.7333,140.8333,6.22,57,100,5.86,JP,1708097686
78,port saint john's,-31.6229,29.5448,21.55,77,97,2.34,ZA,1708097686
79,vernal,40.4555,-109.5287,-1.3,80,0,1.54,US,1708097686
80,ushuaia,-54.8,-68.3,14.79,62,0,1.54,AR,1708097489
81,javea,38.7833,0.1667,14.91,83,92,3.58,ES,1708097687
82,hamilton,39.1834,-84.5333,3.13,60,75,5.66,US,1708097543
83,ak'ordat,15.5486,37.8867,29.01,14,8,5.94,ER,1708097691
84,antonio enes,-16.2325,39.9086,28.61,80,4,4.91,MZ,1708097691
85,lihue,21.9789,-159.3672,20.58,78,20,3.09,US,1708097691
86,yoichi,43.2039,140.7703,-3.96,77,84,3.03,JP,1708097691
87,edinburgh of the seven seas,-37.0676,-12.3116,17.4,71,84,6.03,SH,1708097691
88,riyadh,24.6877,46.7219,32.08,38,69,11.07,SA,1708097692
89,port mathurin,-19.6833,63.4167,28.05,83,75,13.38,MU,1708097692
90,polyarnyy,69.1989,33.4478,-11.83,93,16,8.21,RU,1708097692
91,luorong,24.4058,109.6086,14.84,75,76,1.44,CN,1708097692
92,cozumel,20.5083,-86.9458,28.04,82,20,3.6,MX,1708097630
93,atherton,53.5237,-2.4935,12.42,94,100,0.45,GB,1708097692
94,qaqortoq,60.7167,-46.0333,2.6,67,100,5.09,GL,1708097692
95,haiku-pauwela,20.9219,-156.3051,20.02,92,100,2.06,US,1708097692
96,gaspe,48.8334,-64.4819,-4.88,54,75,6.17,CA,1708097441
97,daru,-9.0763,143.2092,27.32,84,77,1.68,PG,1708097693
98,lamu,-2.2717,40.902,27.43,84,58,5.38,KE,1708097693
99,east london,-33.0153,27.9116,24.52,46,0,4.12,ZA,1708097693
100,kerikeri,-35.2268,173.9474,14.95,91,15,1.87,NZ,1708097693
101,fale old settlement,-9.3852,-171.2468,28.61,78,100,8.07,TK,1708097693
102,geraldton,-28.7667,114.6,21.23,88,50,3.09,AU,1708097693
103,bodo,67.28,14.405,-1.79,92,75,7.72,NO,1708097693
104,nuku'alofa,-21.1333,-175.2,24.19,83,20,5.14,TO,1708097523
105,peace river,56.2501,-117.286,-14.83,85,20,3.09,CA,1708097594
106,opuwo,-18.0607,13.84,31.13,20,6,7.22,NA,1708097693
107,merta,26.65,74.0333,19.45,17,0,2.59,IN,1708097693
108,zeya,53.75,127.2667,-15.29,90,100,4.21,RU,1708097694
109,san antonio de pale,-1.4014,5.6325,29.2,75,43,4.87,GQ,1708097694
110,lepsy,46.235,78.9456,-22.53,76,6,3.29,KZ,1708097694
111,boa vista,2.8197,-60.6733,30.99,45,20,6.17,BR,1708097617
112,holualoa,19.6228,-155.9522,20.91,83,100,3.6,US,1708097694
113,harlingen,26.1906,-97.6961,19.97,99,100,3.09,US,1708097481
114,tolanaro,-25.0319,46.9987,24.74,88,56,4.5,MG,1708097694
115,khandyga,62.6667,135.6,-46.24,99,52,0.94,RU,1708097694
116,hudson,40.7168,-74.0663,4.67,41,0,12.35,US,1708097579
117,karratha,-20.7377,116.8463,29.44,70,58,7.65,AU,1708097695
118,pordic,48.5705,-2.8178,14.12,64,75,6.17,FR,1708097695
119,georgetown,5.4112,100.3354,28.96,83,20,2.06,MY,1708097597
120,panjakent,39.4952,67.6093,9.19,73,100,3.46,TJ,1708097695
121,tangalle,6.024,80.7911,27.09,76,88,7.21,LK,1708097695
122,avarua,-21.2078,-159.775,24.03,94,100,6.69,CK,1708097695
123,barcelos,41.5388,-8.6151,17.08,77,91,1.35,PT,1708097695
124,balabac,7.9868,117.0645,27.23,79,20,5.76,PH,1708097695
125,jamestown,42.097,-79.2353,-2.21,65,99,2.24,US,1708097446
126,vinukonda,16.05,79.75,20.82,79,0,2.29,IN,1708097695
127,minas de marcona,-15.2119,-75.1103,23.5,61,71,6.02,PE,1708097696
128,ixtapa,20.7,-105.2,20.68,100,100,4.12,MX,1708097612
129,waingapu,-9.6567,120.2641,26.43,87,57,3.01,ID,1708097696
130,coquimbo,-29.9533,-71.3436,18.85,94,100,4.12,CL,1708097569
131,longyearbyen,78.2186,15.6401,-9.09,86,75,6.69,SJ,1708097696
132,margaret river,-33.95,115.0667,17.16,89,19,4.7,AU,1708097624
133,keflavik,64.0049,-22.5624,2.24,80,75,4.63,IS,1708097696
134,ilulissat,69.2167,-51.1,-15.99,60,75,1.54,GL,1708097696
135,t'ongch'on-up,38.9539,127.8917,0.45,77,3,4.01,KP,1708097696
136,hami,42.8,93.45,0.89,48,100,5.13,CN,1708097697
137,tessaoua,13.7574,7.9874,31.22,10,20,5.68,NE,1708097697
138,ivdel',60.6911,60.4206,-23.78,97,5,1.34,RU,1708097697
139,kalmunai,7.4167,81.8167,26.26,86,100,4.16,LK,1708097697
140,la passe,45.5549,-0.8967,15.13,78,95,4.88,FR,1708097697
141,rafaela,-31.2503,-61.4867,29.43,40,0,1.34,AR,1708097697
142,akureyri,65.6835,-18.0878,-7.04,93,100,3.09,IS,1708097697
143,papatowai,-46.5619,169.4708,11.14,88,37,2.75,NZ,1708097697
144,onega,63.9061,38.1404,-8.77,94,100,3.64,RU,1708097698
145,presidente olegario,-18.4178,-46.4181,24.09,71,100,3.57,BR,1708097698
146,namsos,64.4662,11.4957,2.03,80,75,0.0,NO,1708097698
147,uturoa,-16.7333,-151.4333,27.42,72,92,7.22,PF,1708097698
148,mata-utu,-13.2816,-176.1745,28.6,80,41,7.83,WF,1708097698
149,berdigestyakh,62.0989,126.6992,-34.87,96,79,2.98,RU,1708097698
150,bardai,11.65,7.2333,31.31,8,74,4.33,NG,1708097698
151,ambovombe,-25.1667,46.0833,24.86,83,34,7.0,MG,1708097698
152,sanya,18.2431,109.505,23.09,73,75,4.0,CN,1708097698
153,fortaleza,-3.7227,-38.5247,31.07,62,75,6.17,BR,1708097615
